text	label
当班作业11人，事故发生后，3人下井施救也被困井下。	[('Time', 8, 13), ('Participant', 14, 16), ('COAL', 21, 23), ('RES', 16, 20), ('Location', 23, 25)]
2017年11月20日上午8时47分，佛山南海区消防部门接报，南海大沥镇联安社区谭约东村北路美梦床上用品仓库发生火灾。	[('Participant', 19, 28), ('FIRE', 56, 58), ('Location', 31, 54), ('RES', 28, 30), ('Time', 0, 18)]
2018年10月16日报道。	[('MAN', 11, 13), ('Time', 0, 11)]
目前，事故造成现场作业人员4人死亡，3人重伤，2人轻伤，30人轻微伤。	[('CAS', 31, 34), ('CAS', 15, 17), ('Participant', 23, 25), ('CAS', 20, 22), ('Participant', 28, 31), ('CAS', 25, 27), ('Participant', 9, 15), ('Participant', 18, 20), ('Location', 7, 9), ('Time', 0, 2)]
2019年8月14日9时08分，南京消防指挥中心接到报警，称在南京市建邺区河西大街明基医院北门附近，一辆黑色网约车失火。	[('RES', 24, 28), ('Location', 31, 49), ('Time', 0, 15), ('Object', 52, 57), ('Participant', 16, 24), ('FIRE', 57, 59)]
河南省派员正在赶赴湖南开展相关工作。	[('MAN', 11, 13), ('Location', 9, 11), ('Object', 13, 17), ('MAN', 7, 9), ('Participant', 0, 5)]
目前，救援处置等工作正有序开展。	[('RES', 13, 15), ('Object', 3, 10), ('Time', 0, 2)]
2020年1月16日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
目前，相关善后和事故调查正在进一步进行中。	[('MAN', 17, 19), ('Object', 8, 12), ('Time', 0, 2), ('Object', 3, 7)]
事故建筑为一栋四层厂房，钢筋混凝土结构，起火部位为电镀车间，主要燃烧物质为电镀液、电镀原材料等。	[('FIRE', 32, 36), ('FIRE', 20, 24), ('Location', 25, 29), ('Object', 37, 40), ('Object', 41, 46)]
县公安、卫计、消防、国土、安监、林业、双溪镇等单位紧急赶到事发现场双溪镇付家院村三岔河石英矿点，开展伤员救治、应急救援、现场勘查等工作。	[('Participant', 19, 25), ('RES', 48, 50), ('Object', 50, 67), ('Participant', 4, 6), ('RES', 27, 29), ('Location', 33, 47), ('Participant', 7, 9), ('Participant', 16, 18), ('Participant', 10, 12), ('Participant', 13, 15), ('Participant', 0, 3)]
目前，火场正在清理，隐患正在排查，详细起火原因正在调查当中。	[('Object', 10, 12), ('MAN', 7, 9), ('MAN', 25, 27), ('Location', 3, 5), ('MAN', 14, 16), ('Time', 0, 2), ('Object', 17, 23)]
目前，事故现场已处置，交通已恢复，事故原因正在进一步调查中。	[('MAN', 8, 10), ('Location', 3, 7), ('MAN', 14, 16), ('MAN', 26, 28), ('Object', 11, 13), ('Time', 0, 2), ('Object', 17, 21)]
最后一名消防队员在15:25被救出，但已无生命体征、不幸牺牲。	[('CAS', 28, 30), ('RES', 15, 17), ('Participant', 0, 8), ('Time', 9, 14)]
2020年8月29日17时28分许，芜湖市鸠江区芜湖融汇化工有限公司在充装液氯槽罐车的过程中，液氯万向节发生泄漏，随即工作人员关闭进料气动阀和手动阀，并进行管道抽空，应急队进入现场进行雾状水洗消，事故现场得到控制，融汇化工公司无员工中毒或不适。	[('Object', 47, 52), ('Location', 88, 90), ('Participant', 83, 86), ('RES', 80, 82), ('Time', 57, 59), ('RES', 86, 88), ('Location', 18, 34), ('Time', 0, 17), ('RES', 63, 65), ('MAN', 104, 106), ('Participant', 59, 63), ('CHEM', 54, 56), ('Location', 98, 102), ('RES', 95, 97), ('Object', 92, 95), ('CAS', 116, 121), ('Object', 78, 80), ('Object', 65, 74), ('CHEM', 35, 37), ('Participant', 113, 116)]
目前，涉险17人，死亡10人，轻伤7人。	[('Participant', 5, 8), ('CAS', 9, 11), ('CAS', 15, 17), ('Participant', 11, 14), ('COAL', 3, 5), ('Participant', 17, 19), ('Time', 0, 2)]
2018年1月3日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
一辆水泥运载车由宁古路往城区方向行至苗圃路段时，与一辆垃圾运载车相撞。	[('TRA', 32, 34), ('Object', 25, 32), ('Object', 0, 7), ('Location', 18, 22)]
2021年8月27日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
2019年4月3日中午12时20分左右，在京藏高速出京方向59.8公里处，发生一起大货车与多车相撞交通事故。	[('Location', 21, 36), ('Object', 41, 44), ('TRA', 47, 49), ('Time', 0, 19), ('Object', 45, 47)]
8月26日，哈尔滨市政府就“8·25”哈尔滨北龙温泉休闲酒店火灾举行第二次新闻发布会，哈尔滨市政府首席新闻发言人、政府秘书长方政辉介绍，救援人员经过搜救，在坍塌部分最底部又发现一名遇难者，火灾事故共导致20人死亡。	[('Participant', 88, 93), ('Participant', 68, 72), ('CAS', 104, 106), ('Participant', 101, 104), ('Object', 34, 42), ('Participant', 6, 12), ('Location', 78, 85), ('MAN', 65, 67), ('RES', 74, 76), ('RES', 86, 88), ('MAN', 32, 34), ('Time', 0, 5), ('Participant', 43, 65)]
位于万宁市兴隆华侨农场六分公司48队附近一居民楼着火。	[('FIRE', 24, 26), ('Location', 2, 24)]
2020年12月16日凌晨2时许，广东潮州市潮安区庵埠镇文里村一民宅发生火灾。	[('Location', 17, 34), ('Time', 0, 16), ('FIRE', 36, 38)]
事故发生后黑龙江省委省政府高度重视，立刻组织200多人的救援队伍进行现场救援。	[('RES', 20, 22), ('Participant', 22, 32), ('Participant', 5, 13), ('Time', 0, 5), ('RES', 36, 38), ('Location', 34, 36)]
肇事校车司机戴某已被公安机关控制，事故善后工作正在进一步处理中。	[('Object', 17, 23), ('Participant', 10, 14), ('MAN', 28, 30), ('Participant', 0, 8), ('MAN', 14, 16)]
截止到12：30分，现场明火已扑灭。	[('Time', 3, 9), ('Object', 12, 14), ('Location', 10, 12), ('RES', 15, 17)]
2018年6月13日5时许，在大兴区南六环内环东向西方向70+400处，一辆山东牌照半挂车、一辆京牌厢式货车与一辆辽宁牌照装有苯酚的危化品运输车追尾。	[('Object', 36, 45), ('Location', 15, 35), ('Object', 46, 54), ('Time', 0, 13), ('Object', 55, 72), ('TRA', 72, 74)]
事发后，当地政府部门立即启动应急预案，并组织安监、公安、消防、120急救部门均赶到现场处置。	[('RES', 20, 22), ('RES', 12, 14), ('Participant', 22, 24), ('Participant', 4, 10), ('Participant', 25, 27), ('Object', 14, 18), ('RES', 39, 41), ('Participant', 28, 30), ('Time', 0, 3), ('Participant', 31, 38), ('Location', 41, 43)]
2018年4月22日下午，河北唐山市丰润区杨官林镇满旺采石场发生山体坍塌可能造成人员伤亡。	[('Object', 32, 34), ('BUILD', 34, 36), ('Time', 0, 12), ('Location', 13, 30)]
2018年2月24日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
1人失联，正在全力搜救。	[('CAS', 2, 4), ('Participant', 0, 2), ('RES', 9, 11)]
目前，现场已恢复交通，伤者得到妥善治疗，事故调查处理工作正在进一步开展。	[('MAN', 6, 10), ('MAN', 33, 35), ('Location', 3, 5), ('Object', 20, 28), ('RES', 15, 19), ('Time', 0, 2), ('Participant', 11, 13)]
遇难者中，其中2名老人因行动不便未能逃生遇难，2人逃生不当坠亡。	[('CAS', 20, 22), ('Participant', 7, 11), ('Participant', 23, 25), ('CAS', 29, 31)]
初步统计，事故造成5人死亡，1人受伤。	[('Participant', 14, 16), ('Participant', 9, 11), ('CAS', 11, 13), ('CAS', 16, 18)]
据矿山救护队现场初步判断为局部瓦斯事故，事故原因正在进一步调查中，善后工作已全面展开。	[('MAN', 29, 31), ('Location', 6, 8), ('MAN', 10, 12), ('Object', 13, 19), ('MAN', 40, 42), ('Object', 20, 24), ('Object', 33, 37), ('Participant', 1, 6)]
2020年8月21日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
17日，玉林市玉州区应急管理局已成立调查组进行调查处置。	[('Participant', 18, 21), ('MAN', 23, 27), ('Participant', 4, 15), ('Time', 0, 3), ('MAN', 16, 18)]
2019年6月28日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
2018年5月15日，顺德区勒流街道连杜村金岳新材料厂发生火警。	[('Location', 11, 27), ('FIRE', 29, 31), ('Time', 0, 10)]
经初步调查，这是一起因违章施工造成的安全事故。	[('Object', 11, 15), ('BUILD', 18, 22)]
起火建筑为单层钢架结构，面积约5000平方米，正在装修施工中，未正式启用。	[('FIRE', 0, 4), ('Object', 5, 11)]
事故发生后，六安市公安局交警支队立即启动事故应急处理预案，并成立“12.10”道路交通事故工作专班。	[('Participant', 32, 49), ('Time', 0, 5), ('Object', 20, 28), ('MAN', 30, 32), ('RES', 18, 20), ('Participant', 6, 16)]
2023年2月22日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
2018年1月10日上午，宁夏灵武市白土岗乡高闸煤矿发生井下冒顶事故。	[('Location', 13, 26), ('Time', 0, 12), ('COAL', 28, 32)]
2018年6月19日9:30左右，六安市境内六武高速657KM+120M处一辆货车与一辆小轿车相撞，造成小轿车上4人死亡(其中2人当场死亡，2人送医抢救无效死亡)，1人受伤。	[('Participant', 70, 72), ('Object', 37, 41), ('RES', 72, 76), ('CAS', 78, 80), ('TRA', 47, 49), ('Object', 42, 47), ('Participant', 56, 58), ('CAS', 58, 60), ('CAS', 84, 86), ('CAS', 67, 69), ('Participant', 82, 84), ('Time', 0, 16), ('Location', 65, 67), ('Location', 52, 56), ('Location', 17, 37), ('Participant', 63, 65)]
2019年7月13日16时36分，广西梧州岑溪市岑城镇古塘村天马矿山发生塌方事故，塌方量约500立方米。	[('COAL', 36, 38), ('Time', 0, 16), ('Location', 17, 34)]
2018年12月18日9点5分左右，河北省石家庄市栾城区河北汉崴化学有限公司生产车间在停产状态下，进行检维修作业，在拆除废旧管道过程中，因切割作业引发管道内残存可燃气体发生闪爆。	[('Object', 75, 84), ('Object', 60, 64), ('Time', 0, 17), ('CHEM', 58, 60), ('CHEM', 86, 88), ('Location', 18, 42)]
目前，该事故正在依法调查处理中。	[('MAN', 10, 14), ('Object', 4, 6), ('Time', 0, 2)]
截至8月8日15时07分，救援人员搜救出了第五名被困人员遗体。	[('Participant', 13, 17), ('RES', 17, 19), ('Time', 2, 12), ('Participant', 21, 30)]
目前，起火原因正在进一步调查中。	[('Time', 0, 2), ('Object', 3, 7), ('MAN', 12, 14)]
2020年8月9日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
2021年4月11日18点59分许，滁州市境内一辆牌照为豫P3C107（鲁R8F03）重型半挂牵引车，沿宁洛高速公路下行线行驶至76KM+500M处撞到中央隔离护栏，致其车上货物(三台牵引车车头)甩到对向车道，与对向车道的一辆牌照为鲁JA1264（鲁JP0751挂）重型半挂牵引车和一辆牌照为皖FM6352的轿车发生相撞，随后的一辆牌照为豫NB8840的大客车又撞到鲁JA1264(鲁JP0751挂)重型半挂牵引车尾部，事故造成多车损坏，皖FM6352轿车驾驶员当场死亡、2名乘员经抢救无效先后死亡。	[('TRA', 158, 160), ('Object', 116, 140), ('TRA', 98, 100), ('RES', 241, 243), ('Location', 52, 61), ('Object', 169, 180), ('LOSS', 216, 218), ('TRA', 74, 76), ('Location', 100, 104), ('Location', 231, 233), ('Participant', 236, 240), ('CAS', 233, 235), ('Time', 161, 163), ('Object', 214, 216), ('Location', 64, 74), ('Time', 0, 17), ('Location', 18, 23), ('Object', 146, 156), ('Object', 28, 50), ('TRA', 181, 183), ('Object', 85, 98), ('CAS', 245, 249), ('Participant', 219, 231), ('Object', 76, 82), ('Object', 183, 209)]
四苯基锡反应釜夹套内漏水或者原料四氯化锡、溶剂二甲苯含水量超标，遇到未彻底反应的金属钠而剧烈反应产生氢气，和空气形成爆炸性混合气体，遇到静电等点火源发生爆燃着火。	[('CHEM', 76, 80), ('CHEM', 10, 12), ('CHEM', 56, 58), ('CHEM', 32, 34), ('Object', 58, 65), ('Object', 14, 29), ('Object', 68, 74), ('CHEM', 29, 31), ('Location', 0, 10), ('Object', 50, 52), ('CHEM', 66, 68), ('CHEM', 48, 50), ('Object', 34, 43)]
12月20日下午，广州市消防支队官方微博发布警情通报称，2022年12月20日10时54分，广州市消防救援支队指挥中心接到报警称广州市天河区中山大道190号骏景花园骏茵轩B4座一单元住宅发生火灾，支队指挥中心立即调派周边消防救援力量赶赴现场处置。	[('RES', 116, 118), ('Participant', 46, 59), ('Location', 118, 120), ('Object', 22, 26), ('Location', 64, 93), ('FIRE', 95, 97), ('RES', 106, 108), ('RES', 59, 63), ('Participant', 98, 104), ('Participant', 110, 116), ('Participant', 9, 20), ('Time', 28, 45), ('Time', 0, 8), ('Location', 108, 110), ('MAN', 20, 22)]
2022年12月30日报道。	[('MAN', 11, 13), ('Time', 0, 11)]
目前，事件正在进一步处置中。	[('MAN', 10, 12), ('Time', 0, 2), ('Object', 3, 5)]
区政府主要领导及市、区消防、应急、环保等部门立即赶赴现场进行处置，处置工作持续整晚。	[('RES', 24, 26), ('Location', 26, 28), ('RES', 30, 32), ('Participant', 8, 22), ('Participant', 0, 7)]
目前，事故原因正在调查中。	[('Time', 0, 2), ('MAN', 9, 11), ('Object', 3, 7)]
2019年5月5日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
目前，当地高速交警部门正在对事故发生的原因在进一步调查之中。	[('MAN', 25, 27), ('Time', 0, 2), ('Object', 14, 21), ('Participant', 3, 11)]
据初步调查，2日，原企业组织人员在拆除废旧设备过程中，现场施工人员由于操作不当引发火灾事故。	[('Time', 6, 8), ('FIRE', 17, 19), ('FIRE', 39, 41), ('Object', 19, 23), ('Object', 41, 45), ('Participant', 27, 33), ('Participant', 14, 16), ('FIRE', 35, 39)]
截至4日晚，5名受伤人员因伤势较重，经抢救无效死亡。	[('Time', 2, 5), ('Participant', 6, 12), ('RES', 19, 21), ('CAS', 13, 17), ('CAS', 23, 25)]
接到报警后，相关部门赶赴现场处置。	[('RES', 10, 12), ('Time', 0, 5), ('Location', 12, 14), ('Participant', 6, 10)]
2022年7月9日报道。	[('MAN', 9, 11), ('Time', 0, 9)]
15日20时56分，5名被困人员全部获救，身体状况良好，已送往医院救治。	[('Location', 31, 33), ('RES', 29, 31), ('Time', 0, 9), ('RES', 18, 20), ('Participant', 10, 16), ('RES', 33, 35)]
2020年10月9日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
事故发生后，山西省委书记骆惠宁作出指示，要求相关领导迅速赶赴事故现场，完善搜救方案，全力抢救，避免发生次生事故。	[('RES', 35, 37), ('Object', 51, 55), ('Time', 0, 5), ('Participant', 6, 15), ('Object', 37, 41), ('RES', 17, 19), ('Location', 30, 34), ('RES', 47, 49), ('Participant', 22, 26), ('RES', 28, 30)]
2021年2月17日6时许，招远市夏甸镇曹家洼金矿因井下设备检修发生火灾。	[('Location', 14, 25), ('Object', 26, 32), ('Time', 0, 13), ('COAL', 34, 36)]
2018年3月1日18时许，涡阳县城东街道辖区一辆轿车与一辆返途校车(车内无学生)相撞，事故造成8人受伤，其中3人经抢救无效死亡。	[('Participant', 48, 50), ('CAS', 50, 52), ('Time', 0, 13), ('Participant', 55, 57), ('Location', 14, 23), ('CAS', 62, 64), ('Object', 23, 27), ('Object', 28, 34), ('RES', 58, 60), ('TRA', 41, 43)]
2021年3月8日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
现场搜救出25人，8人送医救治，其中5人经抢救无效死亡，1人正在ICU抢救，2人轻伤。	[('Participant', 9, 11), ('RES', 11, 15), ('Participant', 38, 40), ('Participant', 28, 30), ('RES', 21, 23), ('Location', 0, 2), ('Participant', 18, 20), ('CAS', 25, 27), ('RES', 2, 4), ('Location', 32, 35), ('RES', 35, 37), ('CAS', 40, 42), ('Participant', 5, 8)]
2022年5月4日报道。	[('Time', 0, 9), ('MAN', 9, 11)]
目前，善后及火灾原因调查正在进行中。	[('Object', 6, 12), ('MAN', 14, 16), ('Time', 0, 2), ('Object', 3, 5)]
接报后，龙川县委、县政府第一时间组织搜救。	[('Participant', 4, 12), ('Time', 0, 3), ('RES', 16, 20)]
第4名被困人员正在全力搜救中。	[('RES', 11, 13), ('Participant', 0, 7)]
该企业已经全面停产。	[('Participant', 1, 3), ('MAN', 5, 9)]
事故发生后，唐阳煤矿立即启动事故应急预案，并向省市县有关部门报告。	[('RES', 12, 14), ('RES', 30, 32), ('Time', 0, 5), ('Object', 14, 20), ('Participant', 6, 10), ('Participant', 23, 30)]
通报称，火灾原因正在调查，初步排除燃气爆炸原因，火灾造成2人遇难，另2人坠亡。	[('Participant', 28, 30), ('MAN', 15, 17), ('CAS', 30, 32), ('CAS', 36, 38), ('Participant', 34, 36), ('Object', 4, 8), ('MAN', 10, 12), ('Object', 17, 23)]
2020年11月27日16时49分许，在涵港大道荔城区黄石镇惠下村路段发生一起交通事故。	[('TRA', 39, 43), ('Location', 20, 35), ('Time', 0, 18)]
2020年9月15日报道。	[('Time', 0, 10), ('MAN', 10, 12)]
经市、县环境监测站对事故发生地下游旬河断面设置两个点位分别取样检测，旬河水水质均达标。	[('MAN', 40, 42), ('MAN', 29, 33), ('Location', 10, 21), ('Participant', 1, 9), ('Object', 34, 39), ('Object', 23, 27)]
2020年1月21日21时10分许，安庆市宜秀区境内一辆小型轿车（牌号为浙FE0Q95）沿宜秀区英伦利机动车检测站内部通道由北向南行驶至公交车换乘站附近，因驾驶员操作失误车辆坠入路边沟渠内，造成车上2人当场死亡、2人经医院抢救无效后死亡、1人轻伤，事故调查和善后处置工作正在进行中。	[('Time', 0, 17), ('Object', 85, 87), ('Location', 89, 94), ('CAS', 103, 105), ('Location', 101, 103), ('CAS', 116, 118), ('Participant', 106, 108), ('TRA', 87, 89), ('Location', 18, 26), ('Location', 68, 76), ('RES', 111, 113), ('Object', 129, 135), ('CAS', 121, 123), ('Object', 124, 128), ('Participant', 99, 101), ('Location', 109, 111), ('Object', 26, 44), ('Participant', 78, 81), ('TRA', 81, 85), ('MAN', 137, 139), ('TRA', 65, 67), ('Participant', 119, 121)]
据悉，透水事故被困4人已全部遇难。	[('CAS', 14, 16), ('Participant', 7, 11)]
2021年5月29日8时26分，上海石化烯烃部2号乙烯老区在检修开车准备过程中，裂解炉区域原料管线发生闪爆，导致14人烧伤，伤者已第一时间送往医院治疗。	[('Location', 71, 73), ('Time', 0, 15), ('Participant', 62, 64), ('CHEM', 51, 53), ('Participant', 56, 59), ('CHEM', 59, 61), ('Object', 40, 49), ('Location', 16, 29), ('RES', 73, 75), ('RES', 69, 71)]
事故发生后，医护人员等第一时间赶往现场救治，周边热心市民积极参与救援。	[('Participant', 6, 11), ('Location', 22, 24), ('RES', 30, 34), ('Time', 0, 5), ('Location', 17, 19), ('RES', 15, 17), ('RES', 19, 21), ('Participant', 24, 28)]
事件具体原因仍在调查中。	[('MAN', 8, 10), ('Object', 0, 6)]
2022年9月22日14时许，张某（男，28岁）驾驶一辆重型载货专项作业车，沿三环路主道由东向西行驶至琉璃立交时发生侧翻，车辆侧翻后碾压一辆小型客车，小型客车男性驾驶员死亡。	[('Location', 51, 55), ('TRA', 66, 68), ('CAS', 84, 86), ('Participant', 75, 84), ('Participant', 15, 17), ('Object', 68, 74), ('Time', 0, 14), ('TRA', 58, 60), ('Object', 26, 37)]
2020年4月12日4:30许，广西河池市南丹县城关贸易市场发生一起火灾，接到电话报警后，消防、应急、公安、医疗等部门立即赶到现场开展扑火救援工作，7:40大火扑灭。	[('Time', 0, 15), ('Participant', 51, 53), ('Location', 63, 65), ('Object', 67, 73), ('Time', 37, 44), ('Participant', 45, 47), ('Participant', 54, 59), ('RES', 65, 67), ('Participant', 48, 50), ('RES', 61, 63), ('Time', 74, 78), ('Object', 78, 80), ('RES', 80, 82), ('FIRE', 34, 36), ('Location', 16, 30)]
同时要求广西太阳纸业有限公司立刻停止施工，开展全面检查，举一反三，排查整治其他隐患，杜绝各类生产事故再次发生。	[('Object', 23, 27), ('MAN', 21, 23), ('MAN', 33, 37), ('Participant', 4, 14), ('Object', 37, 41), ('MAN', 16, 20)]
受伤人员已妥善安排在当地3家医院接受救治。	[('RES', 18, 20), ('Location', 10, 16), ('Participant', 0, 4)]
2021年4月26日报道。	[('MAN', 10, 12), ('Time', 0, 10)]
经初查，小型普通客车驾驶人张某宝涉嫌醉酒驾驶机动车是造成该案发生的主要原因。	[('TRA', 18, 22), ('Object', 22, 25), ('Participant', 4, 16)]
省、市、县三级立即启动应急预案，调集应急、消防救援、公安、住建、卫健、自然资源等部门成立现场救援指挥部，400多名救援人员、79台救援车辆以及2条搜救犬等救援力量和设备及时赶到现场，全力施救。	[('Participant', 44, 51), ('RES', 86, 88), ('Participant', 35, 42), ('RES', 9, 11), ('Participant', 21, 25), ('RES', 16, 18), ('Participant', 29, 31), ('Participant', 52, 61), ('RES', 42, 44), ('Object', 11, 15), ('Object', 62, 69), ('Location', 88, 90), ('Participant', 32, 34), ('Participant', 18, 20), ('Object', 71, 84), ('Participant', 0, 7), ('Participant', 26, 28)]
2020年10月8日上午10时50分许，陆河县水唇镇一在建工地天面构架浇筑时模板支撑发生坍塌事故。	[('BUILD', 44, 48), ('Location', 20, 31), ('Time', 0, 19)]
2017年11月22日16：50左右，湖北省建始县工商银行建始县支行在拆除原老办公楼时，发生脚手架倒塌事故。	[('Time', 0, 18), ('BUILD', 35, 37), ('Object', 46, 49), ('BUILD', 49, 51), ('Object', 37, 42), ('Location', 19, 34)]
目前，事故的具体原因正在进一步调查中。	[('MAN', 15, 17), ('Object', 3, 10), ('Time', 0, 2)]
记者发稿时，明火已扑灭。	[('Object', 6, 8), ('RES', 9, 11)]
目前，起火原因正在调查中。	[('Time', 0, 2), ('MAN', 9, 11), ('Object', 3, 7)]
2019年10月31日，吉林磐石一钢铁厂高炉下降管装置发生爆炸并起火，高炉喷出巨大火舌，事故造成一名工人死亡，两人轻微伤，无人失踪，事故原因正在调查中。	[('Object', 39, 43), ('CAS', 57, 60), ('Object', 66, 70), ('CAS', 52, 54), ('Object', 35, 37), ('CAS', 63, 65), ('FIRE', 37, 39), ('MAN', 72, 74), ('FIRE', 29, 31), ('Location', 12, 27), ('Participant', 61, 63), ('Participant', 48, 52), ('FIRE', 32, 34), ('Time', 0, 11), ('Participant', 55, 57)]
